Sample Name,Analysis Name,Mineral phase,Context,Unit Abbreviation,SiO2  ,TiO2,   Al2O3 ,FeO*   ,FeO,Fe2O3,CaO   ,Na2O  ,K2O,MnO   ,MgO   ,NiO   ,Cr2O3 ,V2O3 ,Total  ,XAb,XAn,XOr,XFa,XFo,XTp,XWo,XEn,XFs,XJd,XAe,XQuad,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG1,Plagioclase,Groundmass,bnu,53.3,n/a,28.6,0.66,n/a,n/a,11.7,4.4,0.3,n/a,n/a,n/a,n/a,n/a,99.0,40,58,1.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG2,Plagioclase,Groundmass,bnu,54.2,n/a,28.2,0.81,n/a,n/a,11.1,4.7,0.3,n/a,n/a,n/a,n/a,n/a,99.3,43,56,1.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG3,Plagioclase,Groundmass,bnu,53.4,n/a,28.6,0.71,n/a,n/a,11.6,4.4,0.2,n/a,n/a,n/a,n/a,n/a,98.9,40,59,1.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG4,Plagioclase,Groundmass,bnu,53.6,n/a,28.4,0.90,n/a,n/a,11.4,4.6,0.3,n/a,n/a,n/a,n/a,n/a,99.2,41,57,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG5,Plagioclase,Groundmass,bnu,54.3,n/a,27.6,0.74,n/a,n/a,10.7,4.8,0.4,n/a,n/a,n/a,n/a,n/a,98.5,44,54,2.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG6,Plagioclase,Groundmass,bnu,53.5,n/a,28.4,0.81,n/a,n/a,11.5,4.5,0.3,n/a,n/a,n/a,n/a,n/a,99.0,41,58,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG7,Plagioclase,Groundmass,bnu,53.9,n/a,28.1,0.67,n/a,n/a,11.3,4.6,0.3,n/a,n/a,n/a,n/a,n/a,98.9,42,56,1.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG8,Plagioclase,Groundmass,bnu,54.5,n/a,27.6,0.78,n/a,n/a,10.8,4.8,0.3,n/a,n/a,n/a,n/a,n/a,98.8,44,54,1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG9,Plagioclase,Groundmass,bnu,65.6,n/a,20.2,0.45,n/a,n/a,1.9,7.8,3.8,n/a,n/a,n/a,n/a,n/a,99.8,69,9.1,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG10,Plagioclase,Groundmass,bnu,53.5,n/a,28.5,0.67,n/a,n/a,11.8,4.6,0.3,n/a,n/a,n/a,n/a,n/a,99.4,41,58,1.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG11,Plagioclase,Groundmass,bnu,51.7,n/a,29.4,0.74,n/a,n/a,12.8,3.9,0.2,n/a,n/a,n/a,n/a,n/a,98.7,35,64,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14DC044,R14DC044-GM-PLAG12,Plagioclase,Groundmass,bnu,52.0,n/a,29.3,0.58,n/a,n/a,12.8,3.9,0.2,n/a,n/a,n/a,n/a,n/a,98.8,35,64,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG1,Plagioclase,Groundmass,bun,53.5,n/a,29.1,0.65,n/a,n/a,11.8,4.8,0.3,n/a,n/a,n/a,n/a,n/a,100.2,42,56,1.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG2,Plagioclase,Groundmass,bun,50.9,n/a,29.4,0.68,n/a,n/a,13.0,4.0,0.2,n/a,n/a,n/a,n/a,n/a,98.2,35,64,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG3,Plagioclase,Groundmass,bun,52.8,n/a,29.0,0.41,n/a,n/a,12.1,4.5,0.2,n/a,n/a,n/a,n/a,n/a,99.0,39,59,1.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG4,Plagioclase,Groundmass,bun,51.4,n/a,28.9,0.66,n/a,n/a,12.6,4.3,0.2,n/a,n/a,n/a,n/a,n/a,98.1,38,61,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
